"                        
                              
                    抽芯信息

  抽面花色
-E0","                        
                              
                    抽芯信息

  抽面花色
-木纹类","                        
                              
                    抽芯信息

  抽面花色
-ML448L溯溯白枫","12mm抽芯-国产：三节导轨
      全拉出阻尼导轨
      小全拉托底阻尼导轨
      全拉推弹阻尼导轨
进口：百隆全拉阻尼隐藏轨
      百隆全拉推弹阻尼导轨-ML907AG-√","18mm抽芯-国产：三节导轨
      全拉出阻尼导轨
      小全拉托底阻尼导轨
      全拉推弹阻尼导轨
进口：百隆全拉阻尼隐藏轨
      百隆全拉推弹阻尼导轨-1、默认与抽面同色。
2、特殊为√（花色）-√(ML907AG)","18mm抽芯-国产：三节导轨
      全拉出阻尼导轨
      小全拉托底阻尼导轨
      全拉推弹阻尼导轨
进口：百隆全拉阻尼隐藏轨
      百隆全拉推弹阻尼导轨-抽芯可选花色-【4】","18mm抽芯-国产：三节导轨
      全拉出阻尼导轨
      小全拉托底阻尼导轨
      全拉推弹阻尼导轨
进口：百隆全拉阻尼隐藏轨
      百隆全拉推弹阻尼导轨-抽芯可选花色-E0级：
ML548、ML794、ML549、ML372",备注
E0,木纹类,ML443沫沫白橡,√,√(ML443AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,木纹类,ML226萌萌白橡,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,木纹类,ML440素素云锦,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,木纹类,ML441沁沁云锦,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,木纹类,ML372摩卡柚木,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML1018L星沙,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML907海葵白,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML613西柚橙,√,√（替换为ML907AG）,【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML730象牙白,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML731迷雾蓝,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML732杏仁黄,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML566橡皮粉,√,√（替换为ML907AG）,【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML734柔米白,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML735深空灰,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML736琥珀红,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,ML737中古绿,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,BD652芊白流云,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,纯色类,BD653浅咖流云,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,布纹类,ML548织织月,√,√,【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,布纹类,ML549织织墨,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,皮纹,ML446栗栗皮纹,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,皮纹,ML733醇醇皮纹,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,皮纹,ML447醇醇橙纹,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,石纹类,ML543晓晓星石,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,石纹类,ML794日日星石,√,√,【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,石纹类,723SG涵涵湖光,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,石纹类,ML563皎皎月色,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
E0,石纹类,ML564梭梭沙影,√,√(ML907AG),【4】,"E0级：
ML548、ML794、ML549、ML372",
F4星（第一类）,木纹类,ML444AG鸢鸢雅灰,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML443AG沫沫白橡,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML445AG耶耶胡桃,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML234AG栩栩黄橡,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML036AG吱吱桃木,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML830AG叹叹熏,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML1053AG可可胡桃,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,木纹类,ML1054AG秋韵黄橡,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML532AG奶油白,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML907AG海葵白,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML1017AG芝麻黑,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML565AG杏子灰,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML610AG星际灰,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML825AG贝壳灰,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第一类）,纯色类,ML826AG拿铁灰,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第二类）,纯色类,ML973玛雅蓝,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
F4星（第二类）,纯色类,ML974海棠红,√,√,【19】,"F4星（第一类）：
ML907AG、ML565AG、
ML610AG、ML443AG、ML445AG、ML234AG、ML036AG、ML830AG、ML444AG、ML825AG、ML826AG、ML1017AG、ML1054AG、ML532AG、ML1053AG

F4星（第二类）：
ML973、ML974、ML976、ML936JA、ML937JA",
